1,the,art. 这；那；adv. 更加（用于比较级，最高级前）
2,be,prep. 在，存在；是
3,and,conj. 和，与；而且；然后；就；但是
4,of,prep. 属于；关于；…的；由…组成的
5,a,art. 一；任一；每一
6,in,prep. 在…之内；从事于；按照（表示方式）
7,to,adv. 向前；（门等）关上
8,have,vt. 有；让；从事；允许；拿
9,to,adv. 向前；（门等）关上
10,it,pron. 它
11,I,pron. 我
12,that,pron. 那；那个
13,for,prep. 为，为了；给；因为；对于；适合于；至于
14,you,pron. 你；你们
15,he,n. 它（雄性动物）；男孩，男人
16,with,prep. 用；支持；随着；和…在一起
17,on,adv. 向前地；继续着；作用中，行动中
18,do,n. 要求；规定；C大调音阶中的第一音
19,say,vt. 讲；说明；指明；假设；例如；声称
20,this,pron. 这；这个；这里
21,they,pron. 他们；她们；它们
22,at,prep. 在（表示存在或出现的地点、场所、位置、空间）；向；朝；因为；忙于；以（某种价格、速度等）
23,but,conj. 但是；然而；而是
24,we,pron. 我们（主格）；[古]朕，寡人；笔者，本人（作者或演讲人使用）
25,his,pron. 他的
26,from,prep. 来自，从；今后；由于
27,that,pron. 那；那个
28,not,adv. 不（用于否定句）
29,n''t,
30,by,prep. 被；经由；在……之前；在附近；依据；通过
31,she,pron. 她（主格）；它（用来指雌性动物或国家、船舶、地球、月亮等）
32,or,conj. 或，或者；还是
33,as,conj. 因为；依照；当…时；随着；虽然
34,what,pron. 什么；多么；多少
35,go,vi. 走；趋于；达到；运转
36,their,pron. 他们的，她们的；它们的
37,can,n. 罐头，一罐；金属容器
38,who,pron. 谁
39,get,vt. 获得；变成；使得；受到
40,if,conj. （表条件）如果；（表假设）假如；是否；即使
41,would,aux. 将，将要；愿意
42,her,pron. 她的；她
43,all,adj. 全部的
44,my,pron. 我的
45,make,vt. 制造；构成；使得；获得；引起；进行；布置，准备，整理；认为；安排；形成
46,about,prep. 关于；大约
47,know,vt. 知道；认识；懂得
48,will,n. 意志；意图；心愿；情感；遗嘱
49,as,conj. 因为；依照；当…时；随着；虽然
50,up,adv. 向上；上涨；起来
51,one,pron. 任何人；一个人
52,time,n. 时间；次数；时代；节拍；倍数
53,there,adv. 在那里；在那点上；在那边
54,year,n. 年；历年；年度
55,so,adv. 如此，这么；确是如此
56,think,vt. 想；认为；想像；想起；打算
57,when,conj. 既然；当…时；考虑到
58,which,pron. 哪/那一个；哪/那一些
59,them,pron. 他们；她们；它们
60,some,adj. 一些；大约；某一
61,me,pron. 我（宾格）
62,people,n. 人；人类；民族；公民
63,take,vt. 拿，取；接受；采取；吃
64,out,adv. 在外；出现；出声地；不流行地；出局
65,into,prep. 到…里；深入…之中；成为…状况；进入到…之内
66,just,adv. 正好，恰好；只是，仅仅；刚才，刚刚；实在；刚要
67,see,vt. 看见；领会；理解
68,him,pron. 他（宾格）
69,your,pron. 你的，你们的
70,come,vi. 来；出现；到达；变成；开始；发生
71,could,aux. 能够
72,now,adv. 现在；立刻；如今
73,than,conj. 比（用于形容词、副词的比较级之后）；除…外（用于other等之后）；与其…（用于 rather等之后）；一…就（用于 no sooner等之后）
74,like,vt. 喜欢；愿意；想
75,other,adj. 其他的，另外的
76,how,adv. 多么；多少；如何
77,then,adv. 当时；然后；那么；于是；此外
78,its,pron. 它的
79,our,pron. 我们的
80,two,n. 两个
81,more,adv. 更多；更大程度地；此外
82,these,pron. 这些
83,want,vt. 需要；缺少；应该；希望
84,way,n. 道路；方法；方向；习惯；行业
85,look,vt. 看；期待；注意；面向；看上去像
86,first,adv. 第一；首先；优先；宁愿
87,also,adv. 也；同样；而且
88,new,adj. 新的，新鲜的；更新的；初见的
89,because,conj. 因为
90,day,n. 一天；白昼；时期
91,more,adv. 更多；更大程度地；此外
92,use,n. 使用；用途；发挥
93,no,adv. 不
94,man,n. 雇工；男人；人；人类；丈夫
95,find,vt. 发现；认为；感到；获得
96,here,adv. 在这里；此时
97,thing,n. 东西；事物；事情；情况
98,give,vt. 给；授予；让步；产生；举办
99,many,pron. 许多；许多人
100,well,adv. 满意地；适当地；很好地；充分地
101,only,adv. 只，仅仅；不料
102,those,adj. 那些的
103,tell,vt. 告诉，说；吩咐；辨别；断定
104,one,pron. 任何人；一个人
105,very,adj. 十足的；恰好是，正是；甚至；特有的
106,her,pron. 她的；她
107,even,adj. 偶数的；相等的；平坦的
108,back,n. 背部；后面；靠背；足球等的后卫；书报等的末尾
109,any,adj. 任何的；所有的；丝毫
110,good,adj. 愉快的；好的；虔诚的；优良的
111,woman,n. 女性；妇女；成年女子
112,through,prep. 穿过；通过；凭借
113,us,pron. 我们
114,life,n. 寿命；生活，生存
115,child,n. 儿童，孩子；子孙；产物
116,there,adv. 在那里；在那点上；在那边
117,work,n. 工作；职业；产品；行为；文学、音乐或艺术作品；工厂；操作；[物]功
118,down,adv. 向下，下去；在下面
119,may,aux. 可能，可以；愿意
120,after,adv. 后来，以后
121,should,aux. 应该；将要；可能；就
122,call,vi. 呼叫；拜访；叫牌
123,world,n. 世界；全人类；世俗；领域；宇宙；物质生活
124,over,adv. 结束；越过；从头到尾
125,school,n. 学校；学派；学院；鱼群
